Date,InvoiceNo,ProductCode,ProductName,ProductId,Qty,Discount,NetValue,Brand,CustomerCategory,ProductCategory,Route,RepId,RepCode,RepName,CustomerCode,CustomerName,ASM,RSM,Distributor,Type
2025-05-05,KAKREP010/SIN/220,FIG044,"Aloka 200 4in1",43,6.00,18.75,780.00,Samindu,C1,Aloka,"habarana to sigiriya",32,KAKREP010,"Kakirawa Rep 10",KAKREP010-000375,"Siya Pura Storse",ASM,RSM,"K M D Vimukthi Kumarasinghe-Kakirawa",sales
2025-05-05,KAKREP010/SIN/219,FIG011,"Aloka 50 Wild Blossom",11,12.00,12.50,420.00,Samindu,C1,"Aloka 50","habarana to sigiriya",32,KAKREP010,"Kakirawa Rep 10",KAKREP010-000063,"Premalal Stose",ASM,RSM,"K M D Vimukthi Kumarasinghe-Kakirawa",sales
2025-05-05,BATREP017/SIN/142,FIG010,"Aloka 50 Exotic Flora",10,12.00,25.00,360.00,Samindu,C1,"Aloka 50",Vaharai,47,BATREP017,"Baticalo Rep 17",BATREP017-000241,"Keetha St",ASM,RSM,Proshan_Batticlo,sales
2025-05-05,KAKREP010/SIN/218,FIG044,"Aloka 200 4in1",43,12.00,18.75,1560.00,Samindu,C1,Aloka,"habarana to sigiriya",32,KAKREP010,"Kakirawa Rep 10",KAKREP010-000059,"Sunethra Stose",ASM,RSM,"K M D Vimukthi Kumarasinghe-Kakirawa",sales
2025-05-05,OMI2REP016/SIN/32,FIG038,"Sri Sambrani",37,25.00,31.25,1100.00,Samindu,C1,"Incense Powder","Kopay to kondavil",45,OMI2REP016,"Omini 2 Rep 16",OMI2REP016-000034,"Nila Stores ",ASM,RSM,Proshan_Omini02,sales
2025-05-05,OMI2REP016/SIN/32,FIG010,"Aloka 50 Exotic Flora",10,12.00,25.00,360.00,Samindu,C1,"Aloka 50","Kopay to kondavil",45,OMI2REP016,"Omini 2 Rep 16",OMI2REP016-000034,"Nila Stores ",ASM,RSM,Proshan_Omini02,sales
2025-05-05,OMI2REP016/SIN/32,FIG007,"Aloka 50 Tropical Flora",7,12.00,25.00,360.00,Samindu,C1,"Aloka 50","Kopay to kondavil",45,OMI2REP016,"Omini 2 Rep 16",OMI2REP016-000034,"Nila Stores ",ASM,RSM,Proshan_Omini02,sales
2025-05-05,KAKREP010/SIN/217,FIG028,"Sri Jesmin",28,12.00,6.25,900.00,Samindu,C1,"Sri Range","habarana to sigiriya",32,KAKREP010,"Kakirawa Rep 10",KAKREP010-000058,"Sadasiri Stose",ASM,RSM,"K M D Vimukthi Kumarasinghe-Kakirawa",sales
2025-05-05,KAKREP010/SIN/217,FIG021,"Samindu Six'O Premium",21,12.00,6.25,1350.00,Samindu,C1,"Luxury Range","habarana to sigiriya",32,KAKREP010,"Kakirawa Rep 10",KAKREP010-000058,"Sadasiri Stose",ASM,RSM,"K M D Vimukthi Kumarasinghe-Kakirawa",sales
2025-05-05,KAKREP010/SIN/216,FIG044,"Aloka 200 4in1",43,6.00,18.75,780.00,Samindu,C1,Aloka,"habarana to sigiriya",32,KAKREP010,"Kakirawa Rep 10",KAKREP010-000057,"New Ama Stosr",ASM,RSM,"K M D Vimukthi Kumarasinghe-Kakirawa",sales
